group	CellType	NEURONAL/NON-NEURONAL
129_L2/3 IT POST-PRE	L2/3 IT POST-PRE	Neuronal
236_Car3	Car3	Neuronal
55_Vip HPF	Vip HPF	Neuronal
21_Sncg	Sncg	Neuronal
258_L5 PT CTX	L5 PT CTX	Neuronal
330_CA1-ProS	CA1-ProS	Neuronal
110_Pvalb	Pvalb	Neuronal
188_L4/5 IT CTX	L4/5 IT CTX	Neuronal
243_L5 PT CTX	L5 PT CTX	Neuronal
268_L5/6 NP CTX	L5/6 NP CTX	Neuronal
311_L6b CTX	L6b CTX	Neuronal
7_Lamp5 Lhx6	Lamp5 Lhx6	Neuronal
353_CA3-ve	CA3-ve	Neuronal
149_L2 IT ENTm	L2 IT ENTm	Neuronal
375_Oligo	Oligo	Non-Neuronal
105_Sst HPF	Sst HPF	Neuronal
10_Lamp5	Lamp5	Neuronal
142_L2/3 IT PAR	L2/3 IT PAR	Neuronal
233_L6 IT ENTl	L6 IT ENTl	Neuronal
20_Pax6	Pax6	Neuronal
94_Sst	Sst	Neuronal
155_L2/3 IT ENTl	L2/3 IT ENTl	Neuronal
265_L5/6 NP CTX	L5/6 NP CTX	Neuronal
157_L2/3 IT ENTl	L2/3 IT ENTl	Neuronal
220_L6 IT CTX	L6 IT CTX	Neuronal
335_CA1-ve	CA1-ve	Neuronal
104_Sst HPF	Sst HPF	Neuronal
274_NP SUB	NP SUB	Neuronal
385_VLMC	VLMC	Non-Neuronal
40_Vip	Vip	Neuronal
193_L4/5 IT CTX	L4/5 IT CTX	Neuronal
135_L3 IT ENTm	L3 IT ENTm	Neuronal
370_Oligo	Oligo	Non-Neuronal
165_L2/3 IT CTX	L2/3 IT CTX	Neuronal
237_Car3	Car3	Neuronal
254_L5 PT CTX	L5 PT CTX	Neuronal
232_L6 IT CTX	L6 IT CTX	Neuronal
74_Sst	Sst	Neuronal
225_L6 IT CTX	L6 IT CTX	Neuronal
292_L6 CT CTX	L6 CT CTX	Neuronal
181_L4 IT CTX	L4 IT CTX	Neuronal
380_SMC-Peri	SMC-Peri	Non-Neuronal
45_Vip	Vip	Neuronal
87_Sst	Sst	Neuronal
184_L4/5 IT CTX	L4/5 IT CTX	Neuronal
82_Sst	Sst	Neuronal
327_ProS	ProS	Neuronal
163_L2/3 IT CTX	L2/3 IT CTX	Neuronal
187_L4/5 IT CTX	L4/5 IT CTX	Neuronal
192_L4/5 IT CTX	L4/5 IT CTX	Neuronal
266_L5/6 NP CTX	L5/6 NP CTX	Neuronal
95_Sst	Sst	Neuronal
172_L2/3 IT ProS	L2/3 IT ProS	Neuronal
356_CA3-do	CA3-do	Neuronal
98_Sst	Sst	Neuronal
106_Sst HPF	Sst HPF	Neuronal
147_L2 IT ENTm	L2 IT ENTm	Neuronal
289_L6 CT CTX	L6 CT CTX	Neuronal
383_VLMC	VLMC	Non-Neuronal
24_Sncg	Sncg	Neuronal
338_CA1	CA1	Neuronal
369_Oligo	Oligo	Non-Neuronal
196_L5 IT CTX	L5 IT CTX	Neuronal
38_Sncg	Sncg	Neuronal
107_Sst HPF	Sst HPF	Neuronal
269_L5/6 NP CTX	L5/6 NP CTX	Neuronal
231_L6 IT CTX	L6 IT CTX	Neuronal
261_L4 RSP-ACA	L4 RSP-ACA	Neuronal
360_CA2-IG-FC	CA2-IG-FC	Neuronal
70_Sst	Sst	Neuronal
79_Sst	Sst	Neuronal
88_Sst	Sst	Neuronal
180_L4 IT CTX	L4 IT CTX	Neuronal
252_L5 PT CTX	L5 PT CTX	Neuronal
295_CT SUB	CT SUB	Neuronal
58_Vip Igfbp6	Vip Igfbp6	Neuronal
9_Lamp5 Lhx6	Lamp5 Lhx6	Neuronal
101_Sst	Sst	Neuronal
355_CA3-ve	CA3-ve	Neuronal
128_L2 IT APr	L2 IT APr	Neuronal
130_L2/3 IT POST-PRE	L2/3 IT POST-PRE	Neuronal
158_L2/3 IT AI	L2/3 IT AI	Neuronal
25_Sncg	Sncg	Neuronal
281_L6 CT CTX	L6 CT CTX	Neuronal
33_Sncg	Sncg	Neuronal
309_L6b RHP	L6b RHP	Neuronal
230_L6 IT CTX	L6 IT CTX	Neuronal
148_L2 IT ENTm	L2 IT ENTm	Neuronal
54_Vip HPF	Vip HPF	Neuronal
206_L5/6 IT CTX	L5/6 IT CTX	Neuronal
23_Sncg	Sncg	Neuronal
278_L6 CT CTX	L6 CT CTX	Neuronal
183_L4/5 IT CTX	L4/5 IT CTX	Neuronal
204_L5/6 IT CTX	L5/6 IT CTX	Neuronal
336_CA1-ve	CA1-ve	Neuronal
341_CA1	CA1	Neuronal
141_L2/3 IT PAR	L2/3 IT PAR	Neuronal
212_L5/6 IT TPE-ENT	L5/6 IT TPE-ENT	Neuronal
362_DG	DG	Neuronal
136_L3 IT ENTm	L3 IT ENTm	Neuronal
312_L6b CTX	L6b CTX	Neuronal
97_Sst	Sst	Neuronal
161_L2/3 IT ENTl	L2/3 IT ENTl	Neuronal
164_L2/3 IT CTX	L2/3 IT CTX	Neuronal
93_Sst	Sst	Neuronal
366_Oligo	Oligo	Non-Neuronal
340_CA1	CA1	Neuronal
122_Pvalb Vipr2	Pvalb Vipr2	Neuronal
69_Sst	Sst	Neuronal
77_Sst HPF	Sst HPF	Neuronal
150_L2 IT ENTm	L2 IT ENTm	Neuronal
339_CA1	CA1	Neuronal
44_Vip	Vip	Neuronal
109_Pvalb	Pvalb	Neuronal
275_NP PPP	NP PPP	Neuronal
5_Lamp5 Lhx6	Lamp5 Lhx6	Neuronal
267_L5/6 NP CTX	L5/6 NP CTX	Neuronal
22_Sncg	Sncg	Neuronal
191_L4/5 IT CTX	L4/5 IT CTX	Neuronal
325_ProS	ProS	Neuronal
49_Vip	Vip	Neuronal
4_Meis2 HPF	Meis2 HPF	Neuronal
205_L5/6 IT CTX	L5/6 IT CTX	Neuronal
16_Lamp5	Lamp5	Neuronal
63_Sst Chodl	Sst Chodl	Neuronal
318_SUB	SUB	Neuronal
203_L5/6 IT CTX	L5/6 IT CTX	Neuronal
319_SUB	SUB	Neuronal
350_Mossy	Mossy	Neuronal
361_DG	DG	Neuronal
276_NP PPP	NP PPP	Neuronal
73_Sst	Sst	Neuronal
263_L5 PPP	L5 PPP	Neuronal
291_L6 CT CTX	L6 CT CTX	Neuronal
373_Oligo	Oligo	Non-Neuronal
160_L2/3 IT ENTl	L2/3 IT ENTl	Neuronal
